Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
65.59,59.93,59.656,27.1
66.543,64.088,64.376,22.5
66.322,60.564,59.42,29.7
65.66,45.596,48.677,28.3
71.029,69.922,69.666,25.5
55.807,55.963,57.451,22.3
71.47,65.889,66.763,20.5
59.267,61.303,61.053,27.9
61.395,55.598,58.656,20.5
75.59,61.081,62.367,21.3
65.146,57.359,57.063,32.5
65.444,53.841,59.022,25.9
64.264,61.815,62.02,19.3
61.105,59.988,59.763,20.7
62.647,55.729,56.815,22.7
71.984,67.518,66.344,18.9
51.913,44.551,43.914,30.1
55.886,56.999,51.741,25.3
76.251,67.733,67.968,38.3
69.414,67.221,66.71,21.7
63.602,56.843,56.107,25.7
60.443,64.084,61.097,21.3
73.675,65.904,71.271,17.3
73.75,63.426,62.386,27.7
74.191,63.202,66.033,23.9
66.101,65.769,62.698,27.3
74.486,63.64,64,22.9
65.295,61.374,60.053,22.7
63.016,53.275,56.334,25.1
59.337,57.562,54.517,32.3
70.147,68.477,65.343,32.3
69.708,67.668,67.302,29.9
76.178,68.382,69.657,24.5
73.382,69.775,70.054,26.5
76.248,61.297,60.451,26.7
75.074,66.933,64.753,25.7
61.25,61.155,61.044,28.9
63.087,63.722,62.989,26.5
73.753,66.927,69.311,24.5
64.042,54.728,56.032,25.7
51.762,47.916,46.235,28.3
63.162,57.516,56.698,21.5
71.985,63.132,65.613,23.7
62.351,55.09,51.837,28.7
62.794,60.047,59.484,22.1
64.337,51.434,58.302,16.1
58.458,51.653,50.235,24.1
68.237,63.119,66.667,21.9
70.218,60.483,64.376,25.5
73.673,68.177,66.655,24.1
65.736,58.31,61.667,21.9
59.928,53.408,53.775,24.7
72.424,71.822,75.259,32.3
73.385,66.641,70.29,23.3
61.912,56.923,59.311,23.1
70.957,70.733,66.409,27.1
67.943,58.899,58.698,31.7
67.28,65.304,62.506,31.7
56.762,55.192,52.033,22.9
69.192,68.246,68.311,22.9
68.53,63.059,62.741,26.7
65.809,61.95,59.527,25.3
74.852,64.582,66.647,19.5
70.366,75.843,75.367,25.5
65.954,60.199,59.785,25.1
66.103,50.528,50.656,27.5
67.793,62.093,62.095,14.1
65.664,61.3,61.71,24.1
65.003,69.04,66.108,27.3
69.486,65.983,65.377,16.9
73.457,61.441,63.945,27.3
70.809,69.999,68.666,21.9
77.722,65.915,66.979,28.5
73.973,70.445,64.774,24.1
64.56,66.437,61.764,29.1
57.499,56.998,56.74,21.3
53.824,58.448,57.108,19.5
55.956,53.88,52.957,16.9
57.571,54.789,53.172,20.1
69.119,63.563,61.012,17.5
71.911,67.078,66.956,34.7
58.382,53.491,51.054,20.7
75.073,62.315,61.429,19.7
61.766,64.229,63.355,22.5
79.633,68.465,65.764,19.9
67.428,62.316,62.739,19.7
60.737,55.52,56.375,27.1
65.736,62.606,60.13,22.5
62.573,61.82,62.665,23.1
61.396,63.141,61.334,27.1
61.25,55.455,52.774,20.3
66.837,64.215,63.408,29.7
64.486,59.019,61.764,27.9
64.411,62.529,64.688,24.1
61.1,54.65,59.355,16.5
67.869,61.737,63.721,21.5
54.853,48.135,49.129,24.9
79.999,63.418,68.572,24.7
78.234,70.595,70.926,28.9
61.692,55.591,56.41,22.5
