Training Accuracy,Validation Accuracy,Test Accuracy,Average Size
68.088,71.47,66.936,12.8
68.162,65.473,68.323,7.7
68.015,71.39,65.118,9.7
69.03666667,69.707,58.99555556,10.5
69.927,75.418,72.302,11.6
74.854,72.855,72.582,11.9
72.205,77.392,71.031,13.4
66.839,69.212,67.936,12.7
74.341,73.074,70.335,8.3
70.074,71.469,65.698,9.9
75.073,70.813,69.323,9.5
74.043,71.912,73.559,10.3
70.294,74.325,67.656,11.5
75.368,70.077,71.967,12.2
74.118,74.684,74.345,12.9
65,70.957,70.7,8.7
72.573,77.394,75.591,9.3
60.369,57.117,57.763,7.5
71.324,72.193,67.033,12.2
71.324,70.01666667,71.923,10.9
72.428,72.859,66.011,14.2
73.088,74.603,71.699,8.9
72.646,71.17,72.311,11
74.78,69.127,70.58,8.2
72.575,72.559,70.344,12
68.016,70.013,69.646,12.6
68.385,77.541,71.667,11
66.837,70.09,66.636,10.9
72.573,70.295,68.236,9.3
73.898,69.7,67.043,10.1
78.089,76.88,74.88,10.4
64.24625,66.35777778,56.23666667,10.5
66.619,72.707,71.988,12.2
69.266,73.736,69.324,11.7
63.455,62.548,60.688,10.5
66.323,64.14,62.097,10.9
75.072,74.684,72.915,13
73.602,70.967,68.3,10.3
74.558,74.089,68.397,11.4
66.69,73.451,68.935,9.4
70.91333333,73.151,74.654,12.3
67.722,68.544,65.268,12.6
71.69,75.048,72.645,10.6
65.22,64.444,59.064,9.6
69.779,68.62,70.301,9.2
65.439,68.171,67.388,13.1
68.382,70.523,67.312,11.9
65.885,56.502,57.269,7.8
73.972,73.591,69.936,10.7
66.396,70.737,67.74,11.9
70.01555556,71.82444444,57.61,12.8
65.735,68.187,64.398,14.7
67.203,73.809,73.592,14.7
69.632,65.028,62.72,8.5
72.38333333,71.401,57.42,11.9
63.97,64.607,61.292,11.1
74.192,78.051,76.593,10.8
68.823,71.172,64.011,9.8
67.647,68.184,64.258,10.6
74.191,71.612,68.968,12.8
66.471,69.86,63.71,13.2
66.248,72.63333333,65.054,12.5
66.618,72.064,69.278,11.8
69.19,67.965,68.603,10.7
67.425,69.513,67.571,9.2
71.763,72.854,70.634,8.2
74.339,75.127,70.355,9.3
64.484,61.096,69.935,9.1
65.68666667,64.31111111,63.313,10.8
69.485,68.464,67.644,10
75.296,71.396,69.613,10.4
58.458,62.034,60.409,8.4
68.602,68.032,65.667,11.3
68.676,70.598,66.29,10.2
64.706,61.378,63.226,12.7
64.78888889,69.20888889,60.98,12.5
72.5,70.814,67.257,9.8
72.058,72.78,67.637,10.9
70.441,74.696,69.29,12.1
72.353,72.863,69.26,9.1
58.235,57.882,56.312,8.7
70.589,70.737,70.967,8.8
69.119,71.328,65.364,11
69.339,72.208,71.678,11.9
71.545,71.844,69.957,10.9
73.749,71.916,69.249,10.3
78.18666667,73.67444444,68.388,8.9
68.236,68.093,62.754,12.8
69.336,67.084,65.615,8.5
62.5,65.619,61.376,11.4
69.708,71.462,69.613,10.7
69.77222222,75.63111111,61.68444444,13.5
66.029,61.606,58.301,8.5
71.323,68.249,68.635,9
77.5,70.229,70.893,7.3
61.177,64.529,59.743,9.6
69.925,69.135,66.043,13.3
60.516,61.917,59.602,9.9
73.456,73.951,74.614,11.6
65.218,67.949,66.698,9.8
